¿Cuántos años cumplidos tienes? (anota el número);¿Qué son para ti los Derechos Humanos?;¿Cuáles derechos conoces?;¿Qué significa ser una persona?
13.0;pues las reglas que nos dan la participacion en algo en especifico por la cual a derechos que si nos interesan y otros no;Derecho al ir a la estudiar Derecho a la libertad ;Es ser alguien que comprende piensa y enseña y a un cierta edad es madura 
14.0;La oportunidad que tenemos todos los individuos para vivir de una mejor manera.;Derecho a vivir en condiciones de bienestar y un sano desarrollo integral, derecho a vivir en familia, derecho a no ser discriminado;Un ser racional e inteligente con identidad propia 
13.0;Son Derechos que tenemos los humanos ya sea de sexo, religion, lengua, etc;El derecho a la vida, Libertad de Expresión, Matrimonio y Familia;Ser un humano responsable y educado
13.0;Los derechos humanos son lo que nos identifica que todos y a todas merecemos respeto,dignidad,etc;El derecho a la libertad y el derecho del respeto;Una persona significa que somos un ser vivo que con esfuerzo y trabajo podemos hacer la diferencia 
12.0;son los derechos que tenemos simplemente por ser humanos;derecho a la vida, libertad y a los derechos humanos etc;significa ser un ser vivo que vive en una sociedad y convive entre sus integrantes de una forma adecuada
13.0;son derechos para que respeten a todas las personas;derecho a la libertad, educación, alimento, familia, igualdad, etc;es tener racionamiento y tener conciencia de nosotros mismos
17.0;Son aquellos derechos que responden a cualquier persona sin importar su lugar de origen, su tonalidad de piel o si situación económica ;Derechos la vida, a la familia, al respeto;Ser una masa en el universo 
14.0;Los derechos humanos son leyes que tienes protección ;Matrimonio,libertad de expresión,libertad de pensamiento ;Ser humano tener derechos y respetar a la personas 
12.0;Son los derechos que tenemos y que nos protegen;Educación, vivienda, salud.;Ser un individuo con derechos y obligaciones 
15.0;Son las normas que todos los humanos tenemos y debemos expresarlos libremente. ;Derecho a una casa, a una buena educación, a no ser discriminado, a expresarse libremente, a vivir en familia, entre otros. ;Alguien con dignidad, derechos y con inteligencia 
14.0;Son derechos que se nos dan a todos en el momento de nacer ;A la libertad de expresión, a estudiar, a la igualdad, a la no discriminación, a el bienestar ;Es un ser racional he inteligente, con identidad propia 
14.0;Son derechos vitales para la convivencia de las personas a lo que todos deberíamos de tener acceso ;El derecho a la igualdad, a la educación, a la justicia, de libre religión, a la salud, a la libre personalidad y a la libertad de exposición ;Ser un ser que razona, siente, que tiene derechos, y obligaciones, etc
15.0;Son normas que nos pertenecen a cada persona;Libertad, justicia, respeto, paz, amor ;Un ser humano que es diferente a los demás 
15.0;Son las prerrogativas sustentables de la dignidad humana;derecho a la identidad, derecho de prioridad, derecho de no ser discriminado;el ser humano cualitativamente diferente a los demas
15.0;Los derechos que tienes y que son esenciales para la vida diaria ;Libertad de expresión, derecho al estudio, derecho de los trabajadores etc ;A ser un ser humano 
14.0;los derechos de todos por igual;respeto;.
15.0;Algo que todos tenemos ;A la vida, a no se discriminado, a vivir en familia ;Ser un ser humano 
15.0;;;
16.0;los derechos que tiene una persona por el simple echo de ser un ser humano ;el respeto hacia una persona según su región, su lengua, su sexo, su color, etc ;Un ser humano racional e inteligente 
17.0;Le permiten a las personas su realización, sin excepción.;Derecho a la identidad, derecho a vivir en familia, derecho a la salud, derecho a la educación, derecho a la vida, etc.;Un ser racional e inteligente
17.0;Son las cosas que como humanos merecemos;Muchos;Significa ser alguien en la vida
17.0;Son normas que reconocen y protegen la dignidad de todos los seres humanos.;Libertad de pensamiento, Libertad de expresión y el derecho de los trabajadores.;Es un ser con identidad.
17.0;Son las normas que protegen a los seres humanos como lo es su dignidad, para vivir de manera digna y protegidos.;Algunos, derecho a la identidad, a la familia,a no ser discriminado y a la igualdad.;Un ser que es racional e inteligente, a este se le constituye una identidad.
16.0;Los derechos que todo humano tiene;El derecho a la vida, a la libre expresión, a la educación, a votar..;Vivir y tener derechos, mereces derecho, tener dignidad 
16.0;Una Ley que por el hecho de ser seres humanas podemos ha era o ejercer uso de de esa ley;Derecho de llamada  en caso de algun delito  derecho de la libertad la equidad y el trato igualitario;Alguien que puede vivir con libertad y un ser humano 
16.0;Como lo dicen los derechos que tienen los humanos para cualquier situación o circunstancia en la vida cotidiana ;A tener libertad de expresión, a comer, hablar ;Pues es el estar vivo y coleando en la vida para aprender sobre ella
16.0;los derechos que tiene la gente como ciudadanos y ser humano;respeto de residencia, de sexo, de lengua, etc;un ser humano racional e inteligente, con decisión propia
15.0;Los derechos que todos compartimos por el simple hecho de ser humanos;A la educación, vestimenta, comida, etc.;A un ser humano, en cuanto esté vivo
16.0;Las libertades que deben de ser garantizadas para vivir con dignidad ;Derecho a la vida, a la salud, a la familia, a la recreación, a la educación, a la vivienda digna, a mis derechos básicos indispensables para subsistir ;Significa tener derechos y obligaciones y ser consciente de tú realidad
16.0;Son las cosas, obligaciones y/o libertades que tenemos como personas;Derecho a un nombre, a una casa, a la educación, a la salud, a una familia;Un ser humano racional, que sepa que hace y con una moral
17.0;Son normas que protegen la integridad de todas las personas, son intransferibles, indivisibles y universales.;Tener un hogar, una familia, acceso a los servicios básicos, no ser discriminado, respeto, libertad. ;Un ser humano que razona, siente y piensa, el cual es único por su físico y su personalidad. 
16.0;Los que quitan las distinciones d injusticias entre los seres humanos ;Derecho a la libertad de expresión, a tener cualquier religión, costumbre,etc. A una libre sexualidad ;Que somos seres humanos con diferencias y similitudes 
16.0;Son las libertades con las que goza cada individuo desde que nace hasta que muere ;Libertad de expresión, libertad de albedrío, derecho q un hogar, a un nombre a fina familia etc ;Ser un individuo que se merece respeto 
16.0;Es cada uno de los privilegios que tenemos todas las personas por el simple hecho de ser humanos.;15;Ser un ser humano dentro de una sociedad a la que colabora
16.0;Son derechos que tiene todo ser humano;Derecho a la educación Salud Escuela  Libertad de expresion Seguridad;Ser alguien con razonamiento con derechos y valores 
16.0;Son las garantías que posee una persona por el simple hecho de serla;A tener un nombre, a tener una vivienda,  a la vida, a la salud, a la educación, a la libertad ;Es un individuo con ciertas características que lo hacen ser independiente 
17.0;es todo lo que podemos hacer de forma libre con responsabilidad y a lo que merecemos ;educacion, vestimenta, seguridad, libertad de expresion, etc.;ser una persona que tiene un razonamiento que tiene derechos y responsabilidades 
17.0;Son los derechos que salvaguardan nuestras vidas;Todas las personas somos libres, derecho a la vida, a la familia, a no ser discriminados ;Ser una persona es ser un ser racional con conocimientos, identidad y con conciencia  
17.0;Son libertades que tiene todo tipo de personas ;Libertad de expresión, ser respetado , derecho a la libertad ;Un ser humano que tienes derechos y obligaciones 
17.0;Son la base de nuestra convivencia en sociedad, los cuales obtenemos desde que nacemos y tenemos la obligación de cumplirlos ;Derecho a la salud, derecho a la educación, derecho a una vivienda digna, derecho a la comunicación;Pertenecer a una sociedad, destacando tus virtudes y habilidades al igual el cómo te desarrollas en la misma 
17.0;Los derechos que las personas tienen ;Derecho al estudio, salud ;ser alguien
17.0;normas que nos protegen ante cualquier violacion a nuestra persona y acciones;a la educación, a la salud;ser un ser vivo  con sentimientos 
17.0;algo fundamental para que todos podamos coexistir;a la vida, a la autonimia, a la educacion, a la familia, etc;reconocernos como seres capaces de razonar
15.0;Son una necesidad;libertad, educación;Ser humano con derechos
15.0;Son derechos con los que sabemos y debemos respetar;Libertad de expresion, derecho a la educacion, derecho a la democracia;Un ser humano con derechos
15.0;Los derechos es lo q garantiza el respeto por la persona ;Igualdad, libertad, derecho al estudio, bienestar, justicia, opinión ;Ser racional e inteligente 
15.0;Los derechos que tienen todas las personas lo que esta permitido y lo que no.;derecho a LA Vida derecho a vivid end filia derecho de igualdad derecho a no ser discriminado;Tener derechos 
15.0;Son como las condiciones que tenemos para vivir de manera igualitaria ;Derecho a no ser discriminado, derecho a una educación, derecho en vivir en condiciones de bienestar ;Pues es ser alguien racional y con noción 
16.0;Nuestra libertad ;Derecho a la igualdad ;Para mi es ser consiente de tu entorno 
17.0;son todos los privilegios que tiene un individuo ;derecho a la educacion;tener conciencia sobre nuestros actos 
15.0;Son unos valores que son necesarios;Libertad e igualdad ;Ser un ser humano con derechos 
16.0;para el desarrollo de la persona ;derecho de la vida, familia, a no ser discriminado, etc ;un ser racional e inteligente, consciente de sí mismo y de sus actos, con identidad propia y totalmente independiente.
15.0;Son algo muy importante porque así todos las personas pueden hacer lo mismo;Igualdad, responsabilidad;Es tener derechos 
15.0;Son algo que todos los humanos debes de tener ;Derecho a la identidad, derecho a vivir en familia, derecho a la igualdad etc.;Significa que es reconocerte como eres, por el uso de la razón la voluntad y el sentimiento.
17.0;Los que nos protegen ;Derecho a la vida, derecho a la educación, derecho a la salud, etc;Ser tratada como tal 
17.0;Los derechos humanos son derechos y libertades fundamentales que tenemos todas las personas por el mero hecho de existir.;derecho a la vida, derecho a no ser discriminado ;Ser persona es reconocernos como seres caracterizados por el uso libre de la razón, la voluntad y el sentimiento en la definición de nuestro camino existencial.
17.0;Son normas que reconocen y protegen la dignidad de todos los seres humanos.;Derecho a la identidad, derecho a una familia, libertad de la persona;Ser con poder de raciocinio que posee conciencia sobre si mismo y que cuenta con su propia identidad.
17.0;Son normas que distinguen y defienden la dignidad de todos los seres humanos ;El derecho a la vida, derecho a la libertad, derecho a la igualdad, derecho a la salud, derecho a la educación, derecho a la alimentación ;Es en ser humano diferente al resto, que tiene identidad propia y que es independiente 
17.0;Son derechos que todos tenemos, no se hace distinciones de ningún tipo y son los que reconocen y protejen la dignidad y valor de cada persona. ;A la vida, a solicitar asilo político, a la libertad de expresión y conciencia, a la salud ye educación, etc;Es un ser individual con uso de la razón, que se rige por normas morsles
17.0;Son necesidades que estan escritas en un documento que se encarga de que cada una de ella sean cumplidas y respetadas correctamente. ;A la escuela, a la vida, a familia, a una casa, a comida, al buen trato, al buen trabajo (no sobreexplotación), a servicios públicos, a comida. ;Significa que eres un ser humano con personalidad. 
17.0;Son una especie de reglas y privilegios que tenemos todos, los cuales tenemos que respetar ;Respeto, justicia ;Significa no solo estar vivo sino, tener derechos humanos y tener una buena calidad de vida 
17.0;Son los derechos que tienen todas las personas, sin excepciones y que deben de respetarse esos derechos ;Derecho a la Libertad de opinión y expresión, derecho a la igualdad, derecho al respeto, derecho a no ser discriminado, derecho a vivir en condiciones de bienestar, etc.;Es un ser humano, que tiene derechos y que debe ser tratado de manera adecuada a lo que es una persona 
17.0;Son leyes a las cuales tenemos que cumplir ;derecho a una casa, al respeto, tener dignidad etc;Ser alguien, existir 
17.0;son normas o deberes que todos tenemos y que no distinguen a ninguna persona ;derecho a la libertad, libre expresión, a la educacion, a no ser discriminado ;ser un ser humado diferente a los demas, con identidad propia, independiente y derechos 
17.0;Derechos que tenemos por el simple hecho de ser humanos ;A la vida, educación, agua, salud y pertenecía ;Ser un humano
17.0;Lo que protege a todas las personas;igualdad, libertad, derecho al desarrollo, derecho a la vida;Ser tratado con dignidad supongo 
17.0;Son normas que cada uno de los seres vivos poseemos desde que nacimos y que nos ayudan a exigir elementos que nos pertenecen como seres vivos que somos.;Derecho a la vida, derecho a la justicia, a la paz, a la igualdad, a tener un hogar donde vivir, etc.;individuo de la especie humana 
17.0;Las cosas establecidas para que haya respeto entre nosotros;No me acuerdo;Pues ser un humano
17.0;Son los derechos de todas las personas sin excepción alguna.;El derecho a la vida ;Es ser un ser humano 
17.0;Derechos que tenemos básicamente por ser seres humanos ;Igualdad, libertad, justicia, alimentación, educación, vestido, votar, descansar, trabajar, vivir dignamente;Ser un ser vivo con racionalidad 
17.0;Son todas las garantías que tenemos por el simple hecho de ser personas.;A la salud, a un nombre, a una vivienda, a ser respetados.;Alguien que puede gozar de su vida sin tener represiones.
17.0;Son un listado de cosas que las personas tienen para poder vivir en un ámbito de igualdad y respeto en la sociedad ;Derecho a la vida, derecho a vivir en familia, derecho a no ser discriminado, derecho a la igualdad, derecho a la identidad;Alguien que tiene vida y es un ser humano 
17.0;son las normas que resguardan la dignidad de las personas ;paz, libertad y justicia;es un individuo que es capaz de razonar y  de libertad 
17.0;Leyes pre establecidas que denotan la importancia de la salud y bienestar humano ;Derecho a la educación, derecho a la libre expresión, derecho de pertenencia, derecho de un nombre y una familia, etc. ;Ser un ser viviente, pensante, sapiente y con valores que aprecia tanto su vida y su existencia como la de cualquier ser vivo que lo rodea y con quien convive 
17.0;reglas que son para todos y que se deben de respetar;dercho a la educación, derecho a la salud, derecho a una vivienda, derecho a una familia;un ser humano con sentimientos y conciencia 
17.0;los derechos que todos tenemos y deen respetarse;a la educacion, a la salud, privacidad, libertad,ser tratado signamente, etc;estar vivo y tener conciencia sobre nuestros actos
17.0;son las normas que imponen deberes para llegar al bien común ;derecho a la libertad de expresión, a la educación ;ser alguien, tener un lugar en la sociedad, pertenecer a una comunidad 
17.0;Aquellos que toda persona tiene que respetan su vida;Libertad, familia, al trabajo;Seré alguien que puede tener la libertad de ser y expresarse 
17.0;Son acciones de los seres humanos, sin condición o excepción ;Libertad de expresión, educación, gozar y disfrutar de las oportunidades, posesiones, pensamiento, democracia, seguridad social, matrimonio y familia etc;Es un individuo con dignidad e integridad
17.0;Es todo lo que nos protege como personas;A vivir, alimento, vestimenta, educación, libre opinión etc;Reconocernos como seres 
16.0;;;
17.0;Son normas que que reconocen y protegen la dignidad de los derechos humanos ;libertad de movimiento, libertad de religion;aceptarse como uno mismo como individuo
;;;
;;;
15.0;son los derechos inherentes a todos los seres humanos no importa tu color, sexo, nacionalidad, religión, etc ;derecho al estudio a un hogar, comida ;tener libertad tener derechos, tener voz y voto 
16.0;Son aquellos que nos dan dignidad humana ;10;Ser alguien que tiene dignidad humana 
16.0;son derechos inherentes a todos los seres humanos;Derecho a la libertad;es reconocernos como seres caracterizados por el uso libre de la razón
16.0;Algo que todos tenemos por ser simplemente humanos/personas ;Derecho a la seguridad, derecho a la educacion derecho a un hogar;Tener derechos
16.0;La dignidad y respeto que tenemos todos ;Derecho a atención médica, derecho a la educación etc ;Tener derechos
17.0;Son normas que tenemos todos lo seres humanos sin distinción alguna que nos protegen y reconocen nuestra dignidad ;Derecho a la vida, educación, a tener una familia, a más educación, a la libre expresión,  a la igualdad y a no ser discriminado ;Vivir una vida tener las mismas obligaciones y oportunidades al igual tener derechos 
17.0;Lo que nos defiende y nos reguarda de los peligros hacia nuestra integridad;Muchos;Un ser humano 
15.0;Todos aquellos derechos que tiene una persona por el simple hecho de ser persona.;El derecho a la vida. Derecho a la no discriminación. A no ser esclavizados. Derecho a la igualdad ante la ley etc.  ;Todo ser humano con derechos y obligaciones. 
16.0;Los derechos que se tienen por el simple hecho de nacer;voto, alimento, vivienda;Un ser con derechos
;;;
14.0;Derechos que nos permiten vivir de una manera plena y justa ;Varios ;Todo lo que somos todos 
12.0;Que tu tienes derecho a todo lo  que quisieras hacer en tu vida ;Al estudio, al jugar etc ;Un ser vivo con sentimientos 
12.0;Protección de niños y niñase;El de niños y niñas;Ser una persona es tener derechos y libertades de ambos sexos como hombre y mujer 
14.0;Son derechos inherentes a todos los seres humanos sin distinción alguna de nacionalidad llegar de residencia, sexo, color, lengua etc ;El derecho a la libertad de expresión el derecho de opinar el de tener una vida digna el derecho a la educación ;Que puedes tener una vid digna 
;;;
13.0;Son derechos que tienen todos ;Derecho a la educación ;Una individuo 
14.0;Una forma de libertad sin afectar a nadie más ;El derecho a la eduación , a ser escuchados ;Es un individual reconocido con derechos humanos 
13.0;Son los derechos que la personas se mereven por el simple hecho de ser personas;El derecho a la vida, y acer tratado bien;Ser un humano
14.0;Son los derechos que tenemos por ser seres humanos y tienen que ser respetados;Derecho al estudio, derecho libertad de pensamiento, libertad de expresión, derecho a vivir en familia etc;Por ser una persona ya tenemos el derecho a la vida y a que nos traten con respeto sin importar que
13.0;La libertad que tiene cada quien ;Libertad de expresión, a la vida, reconocimiento de su personalidad jurídica, etc;Especie Humana 
13.0;Es el respeto a mi persona y dignidad;Derecho a la educación, derecho al respeto, derecho a la convivencia;Un ser que siente y que tiene proyecto de vida 
13.0;Las reglas que las personas tiene permitido hacer ;Derecho a la vida, derecho a la libertad, derecho a la justicia, derecho a la educación ;Tener una identidad en la sociedad 
14.0;Los derechos humanos son aquellos se que se nos dan desde el momento de que nacemos esto debido a que como seres humanos tenemos una dignidad e identidad y los derechos humanos de cierta forma hacen que se nos haga valer tal cosa. ;Derecho a la libre expresión, a la salud, a una vivienda digna, a la educación, a la libertad, a la nacionalidad, a una familia etc.... ;Ser una persona es ser un ser libre con derechos y libertades -(libertades delimitadas por el gobierno) 
12.0;Derechos que toda persona debe tener;El derecho la salud, educación, a la vivienda, al libre desarrollo, a la identidad, a un medio ambiente sano, ;Haber nacido vivo y viable, ser sujeto de derechos y obligaciones y de dignidad.
13.0;Los derechos que tenemos las personas por él hecho de ser humanos ;El derecho a la educación derecho a una vivienda digna derecho al libre desarrollo de la voluntad derecho a la identidad derecho al medio ambiente sano ;Ser sujeto de derechos y obligaciones vivo y viable 
13.0;Los derechos humanos que les da a todos los seres humanos;A una vida digna, a educación, a la libertad, etc;Ser un ser humano, sentir sentimientos, etc
12.0;Los derechos humanos son los derechos que se otorgan con tal de ser humanos;Se qué hay derechos que se aplican en niñ@s, otros para adolescentes, y otros para adulto@s así que no sabría especificar ;Una persona tiene que tener dignidad y derechos pero ser una persona no sabría exolicarlo
13.0;Para mi son leyes y reglas que tenemos que respetar, por que si respetamos esos derechos respetamos a las personas ;El derecho de la libertad de opinión y de expresión, etc ;Ser persona es reconocernos como seres caracterizados por el uso de la razón, la voluntad y el sentimiento en la definición de nuestro camino existencial.
13.0;Es una garantía que nos ofrece el estado, gracias a los derechos tenemos una vida digna ;Derecho a la educación, derecho a una vivienda, derecho a la alimentación, derecho a la información ;Ser una persona significa ser un ser pensante que siente y que puede tomar decisiones, y tiene dignidad
13.0;Tener posibilidades de hacer algo.;A la privacidad, comer, a la felicidad.;Estar vivo y poder vivir plenamente.
13.0;Los derechos de las personas ;A la salud y a la educación ;Ser humano frente a la sociedad 
13.0;El respetar a los demás sin importar su apariencia,sexo,religión, etc;A la familia, a la democracia,libertad de expresión y religión, etc;Respetar a tu prójimo 
14.0;Leyes que debemos de respetar para vivir en armonía;Los derechos humanos;Ser un ser vivo con derechos
13.0;Los drecheos que tiene uno por ser una persona ;A una casa, educación, libertad;Ser alguien que deve ser respetado
14.0;Son derechos que todas las personas tenemos que recibir sin alguna discriminación;El derecho a la educación, ;Para mí una persona es un ser humano
13.0;Para mi los derechos humanos es algo que de tiene que cumplir, y que nos protegen.;Derecho a la libertad de expresión ;Significa que eres alguien que piensa, siente, actúa y tienes la capacidad de actuar. 
14.0;Mis libertades, y obligaciones que tengo ante el gobierno para desarrollar mis estudios, mi conocimiento, y para llevar una vida sana, libre y feliz.;El derecho a la educación, a la libertad de expresión, a tener un trabajo, a conocimiento de mi sexualidad. ;La vida de una persona sin interrupción, que ejerce su desarrollo físico, emocional y espiritual, hablando de que ejerce la economía, educación y la familia. 
13.0;Son derechos que tienen los humanos, ;A una vida digna, la salud, estudio ;Un ser vivo con sentimientos, con emociones,responsabilidades, con derechos ,etc.
13.0;El derecho o lo debe de tener cualquier persona acorde a sus necesidades ;A la vida, educación, salud, identidad;Que tienes tus derechos por ese simple hecho 
14.0;Son las acciones que tenemos permitidas dentro de lo que la ley y la constitución permite ;Muchos entre los cuales están: libertad de expresión, derecho a una escuela, derecho a la libertad, libre albedrío, etc;Significa que tiene todos y cada uno de los derechos que se escriben en la constitución y que merece el mismo respeto y trato que otra persona, sin importar su raza, religión, sexualidad, género, etc 
15.0;Tener prioridades;El derecho a la educacion, a la sexualidad y a recibir salud;Tener una vida
13.0;Algo que tenemos que respetar, y que todo ser humano debe de tener ;Ir a la escuela, comer, etc ;Tener valores, respeto, sentimientos 
12.0;Los derechos de las personas;Las opiniones de las personas;Ser uno mismo
12.0;Opiniones de las personas;Los derechos que quieras;
;;;
12.0;Opiniones de las personas;Los derechos que quieras;Ser tu mismo
13.0;Son derechos que tiene todo ser humano  sin distinción alguna;Libertad, igualdad, seguridad, educacion;Ser un ser que tiene derechos y obligaciones 
13.0;Mi libertad al vivir y hacer. ;1. derecho a la libre expresion 2. derecho a la vida 3. derecho a la privacidad ;para ser una persona tienes que tener dignidad 
13.0;Es ese beneficio que tiene cada persona al nacer.;Derecho a la educación , derecho a una buena alimentación, entre otras;Un beneficio.
14.0;Son las leyes que protegen a todas las personas en las que dicen que todos somos iguales y tenemos las mismas oportunidades ;Derecho a la vida, derecho a la educación, derecho a la identidad, derecho a la libre expresión etc ;Es estar vivo y poder disfrutar de la vida y de todas las cosas que ahí en el mundo y también respetar a todas las personas 
13.0;Son normas que las demás personas tienen la obligación de cumplirlos para nosotros.;Derecho a la vida, a la educación, libertad de expresión ;Un ser vivo humano
14.0;Libertad para hacer lo que necesitemos sin afectar;Al estudio y la vivienda;Alguien que tiene derecho y obligaciones
13.0;Son derechos que nos dan la oportunidad de desarrollarnos sanamente;Honestidad, respeto, libertad, empatía ;Significa tener derecho a vivir plenamente 
13.0;Son textos, palabras que hacen que nos respetemos todos. ;Al estudio, a comer.;Tener sentimientos, vivir, sentir.
13.0;son derechos inherentes sin distinción alguna;Libertad de expresión,el derecho a la democracia ;Significa que mereces respeto y tienes los mismos derechos que los demás , sin importar nada
10.0;Las atribuciones que tenemos como personas ;Alimentación, vivienda, salud, educación.;Ser única
8.0;Son a las cosas que tenemos y deberíamos tener por sé niños ;A la educación , a la vivienda , a la salud ;Un ente 
11.0;;;
15.0;Todos los derechos que tenemos y que tienen que ser respetados .;A la educacion, a un hogar digno, a doctor;Tener derecho a todos los servicios , y tener un lugar en el mundo.
;;;
16.0;;;
14.0;Oportunidad ha hacer algo de mi beneficio propio y nesesario ;Derecho a un hogar, derecho a tener padres, derecho a estudio gratuito, derecho a ser libre de expresión, etc;Ser persona es reconocernos como seres caracterizados por el uso libre de la razón, la voluntad y el sentimiento en la definición de nuestro camino existencial. Ser persona es trabajar incesantemente por el desarrollo humano integral, es decir, un desarrollo tanto económico y social como cultural y espiritual.
13.0;;;
;;;
14.0;;;
;;;
12.0;;;
9.0;Son las garantías que nosotros tenemos como individuos para el correcto desarrollo de nosotros mismos, tales como la salud, escuela, entre otras. ;Derecho a la libre expresión, derecho a tener una vivienda. ;Una persona se puede entender como un individuo dotado de razón que crea vínculos afectivos con otras personas y crea un entorno. 
15.0;;;
12.0;Reglas que nos protegen ;A la educación, a la vida;
17.0;Son aquellos que permiten la sana vivencia y convivencia a todos los seres humanos;Derecho a la libertad de expresión, derecho a la educación, derecho a la familia, derecho al trabajo y otros más.;"Que somos seres vivos con capacidad de pensar y actuar por nuestra cuenta, que como humanos que somos tenemos derechos y obligaciones, además de una capacidad reflexiva ""mejor"" o diferente a los animales. "
17.0;Son aquellos que permiten la sana vivencia y convivencia a todos los seres humanos;Derecho a la libertad de expresión, derecho a la educación, derecho a la familia, derecho al trabajo y otros más.;"Que somos seres vivos con capacidad de pensar y actuar por nuestra cuenta, que como humanos que somos tenemos derechos y obligaciones, además de una capacidad reflexiva ""mejor"" o diferente a los animales. "
15.0;El derecho de poder opinar o el derecho de cada persona;No recuerdo jaja;Tener el derecho de opinar
12.0;Los derechos que tiene cada persona;Los derechos de los niños;Tienes que tener cuidados y sobrevivir
14.0;Leyes para poder vivir, para tener una vida pacífica pero con reglas;"La mayoría :ejemplo:Artículo 20 1. Toda persona tiene derecho a la libertad de reunión y de asociación pacíficas.Artículo 19 Todo individuo tiene derecho a la libertad de opinión y de expresión; este derecho incluye el de no ser molestado a causa de sus opiniones, el de investigar y recibir informaciones y opiniones, y el de difundirlas, sin limitación de fronteras, por cualquier medio de expresiónArtículo 17 1. Toda persona tiene derecho a la propiedad, individual y colectiva mente etc";Significa responsabilidad, ami parecer la mayoría de cosas que hace el ser humano, 
13.0;"Los derechos que merece cada persona, no importa sus ""diferencias"", tienen que ser respetadas";*Al estudio *A tenerr un hogar *Libertad de expresión *A la democracia *A la seguridad social *Derecho de los trabajadores, etc. ;Reconocernos como seres de uso de razón, la voluntad, el sentimiento
15.0;Derechos con los que contamos todos los humanos ;El derecho a la educación gratuita, derecho a una vida digna, derecho a la libertad de expresión entre otros;
14.0;Son los derechos que tienen todas las personas, las cuales se deben respetar.;A la educacion, salud, vivienda, privacidad, a la libetad ect.;Ser un humano con capacidad de pensar
;;;
15.0;Son leyes que nos protegen a los niños, niñas y jóvenes;derecho a la libre expresión, educación, trabajo,salud;Significa ser un ser humano que necesita satisfacer sus necesidades, comer, vestir,
12.0;Una Mierd@ Que No Sirve En México 🤡;Casi Todos 🤑;Ser Un Humano Con Derechos 
14.0;Derechos que se deben de respetar y que nos garantizan una mejor calidad de vida;Derecho a la libertad de expresión y otros más;Que tengas tu propia voz y voto
16.0;;;
16.0;;;
10.0;.;.;.
8.0;.;.;.
15.0;;;
14.0;;;
13.0;Los derechos que cada persona debe tener;Libertad de expresión,derecho a la identidad, derecho a la salud y derecho a la educación;No es sólo ser un humano,es más bien alguien con derechos a quien se respeta y se quiere.
;;;
15.0;;;
12.0;;;
16.0;;;
17.0;Son normas que nos ayudan a ser quien somos;El derecho a la libertad de expresión, el derecho ala educación , a tener una familia;
12.0;;;
12.0;;;
;;;
13.0;Son los derechos de todos los seres humanos sin importar su nacionalidad, donde viven, sexo, origen etc;Tener familia,  no ser discriminado, identidad, libertad de expresión y más ;reconocernos como seres caracterizados por el uso libre de la razón, la voluntad y el sentimiento en la definición de nuestro camino existenciañ
12.0;;;
;;;
17.0;;;
13.0;El derecho que tienen todas las personas a vivir en algún lugar comer lo que sea ser como sea ir a donde sea;Los derechos de los humanos;Que no te pueden tratar como un animal porque no lo eres
15.0;Son aquellos que todas las personas pueden acceder sin necesidad que estén en un papel.;Varios, el derecho a la libre expresión, el derecho a estudiar, el derecho de matrimonio, etc.;Ser un individuo que goce son lo esencial para sobrevivir y vivir una vida plena.
16.0;Lo que nos asegura una buena vida;Todos;Es ser un sujeto de derecho
14.0;Los Derechos Humanos son las libertades y la protección que se nos brinda únicamente por  el hecho de ser humanos.;El derecho a la libertad de expresión, el derecho a la autonomía, el derecho a decidir formas internas de convivencia y organización social, económica, política y cultural. ;Para mi ser una persona significa reconocernos a nosotros mismos como seres autónomos.
14.0;....;La mayoría;Existir
14.0;;;
15.0;Algo que todo ciudadano tiene que respetar e impartir obligatoriamente ya que son derechos que todo ser humano tiene que tener sin importar raza, género, edad, género, costumbres, tradiciones etc…;Derecho a un hogar, a un nombre, a comida, educación ;Ser alguien con valor en esta vida y poder tener las mismas oportunidades que los demás en este mundo. 
12.0;;;
16.0;Ciertas libertades ;Libertad de expresión derecho a la educación ;Ser un humano
16.0;;;
14.0;Derechos equitativos Para todes;Todos;
16.0;Son derechos que cada ser humano debe de tener sin importar quien o como sea;Derecho a la vida, a la salud, a la privacidad, a la educación, a la salud, etc;Un individuo con autonomía y derechos
16.0;Son las normas que tienen todo ser humano desde el momento en que nace, sin distinción alguna, se les debe respetar a todos por igual y ayuda a protegernos ;derecho a la libertad de expresión, derecho a la vida, derecho a la identidad, derecho a no ser discriminado y derecho a la igualdad;Una persona es un individuo capaz de tomar decisiones, de vivir y de razonar 
12.0;Que puedes opinar y hacer lo que quieras pero con limites;Opinion;Am nose que response
16.0;;;
14.0;Principios para los humanos.;Honestidad, libertad, Respeto, responsabilidad.;Tener los derechos humanos.
15.0;Son derechos que todos necesitamos para vivir una vida plena ;No sé ;Es ser alguien 
8.0;Todo lo que me brinda libertades por el simple hecho se ser persona y que el estado está obligado a respetar ;Todos los derechos de los niños, la cpeum, etc;Ser un sujeto con derechos y obligaciones 
11.0;;;
13.0;Lo que tiene y puede hacer la gente respecto a la ley;130;Tener derechos y dignidad 
17.0;Normas que sirven para protegernos ante alguna adversidad de peligro o discriminacion ;Derecho a la educación, derecho a una visa sana y plena, derecho a la igualdad, derecho a una paga razonable de trabajo ;Seres caracterizados con desarrollo de una identidad 
13.0;;;
